,prompt_ind,time_point,batch_ind,ind_in_batch,leading_words,ground_word,looser_method,tail_pos_tfs_0.9,specific_words_tfs_0.9,positions_tfs_0.9,probstfs_0.9,tail_pos_n_0.63,specific_words_n_0.63,positions_n_0.63,probsn_0.63,tail_pos_InTail,specific_words_InTail,positions_InTail,probsInTail
0,999,117,1,10, aged weapons. Everyone else was given or assigned different uses of technology. The, infantry,n_0.63,13,"['only', 'last', 'most']","[0, 6, 12]","[0.06087858, 0.008750073, 0.0055404124]",550,"['humans', 'captain', 'workforce']","[13, 275, 549]","[0.0052030683, 0.00049465947, 0.00025142057]",50527,"['name', 'nutrients', 'interstitial']","[550, 21428, 50224]","[0.0002514129, 8.5582576e-07, 1.9516675e-11]"
1,999,55,1,7," never understood words too well, but I guess I had to suck it up",;,tfs_0.9,6,"['and', 'for', 'because']","[0, 2, 3]","[0.33381513, 0.09870116, 0.07159144]",4,"['and', 'for', 'because']","[0, 2, 3]","[0.33381513, 0.09870116, 0.07159144]",50527,"['as', 'drains', 'cumbers']","[6, 21375, 50249]","[0.014609966, 1.7478184e-08, 7.535083e-14]"
2,999,39,0,10," no longer individuals. Mothers are no longer people, merely backgrounds for jokes and", occasional,n_0.63,7,"['jokes', 'pun', 'a']","[0, 3, 6]","[0.084562816, 0.009146591, 0.007705728]",579,"['to', 'image', 'inventions']","[7, 297, 578]","[0.007355045, 0.00052459346, 0.00028983405]",50527,"['impressions', 'Fitzgerald', 'conservancy']","[580, 20968, 50238]","[0.00028833427, 3.9972744e-07, 6.7375017e-13]"
3,999,14,1,17,"
 
 A child's broken plaything, risen with evil intent,", c,n_0.63,8,"['and', 'its', 'but']","[0, 4, 7]","[0.0692719, 0.010805639, 0.00824078]",374,"['with', 'leaving', 'turns']","[8, 202, 373]","[0.0060455734, 0.0009405914, 0.0005247816]",50527,"['sought', 'mainland', 'Interstitial']","[374, 21177, 50216]","[0.00052268384, 2.634107e-07, 1.730388e-11]"
4,999,47,2,1," would realize truly how powerful Anonymous was. 
 
 Thanks to his", friends,n_0.63,5,"['newfound', 'mask', 'father']","[0, 2, 4]","[0.071420684, 0.020989213, 0.01060408]",425,"['success', 'creative', 'trusted']","[5, 212, 424]","[0.010030248, 0.0006455564, 0.00034931596]",50527,"['huge', 'fall', 'Els']","[425, 21131, 50249]","[0.00034922536, 5.2094526e-07, 3.5534642e-12]"
5,999,31,3,8,i on a whim. I was sent to placate the locals and their, government,n_0.63,39,"['anger', 'outraged', 'loved']","[0, 19, 38]","[0.025439419, 0.0034779639, 0.0025779468]",746,"['usual', 'racist', 'ha']","[39, 395, 745]","[0.0025703465, 0.0004573561, 0.0002565007]",50527,"['barely', 'nearer', 'apter']","[746, 21382, 50249]","[0.00025619753, 4.0810613e-07, 2.0491321e-12]"
6,999,22,3,1, particular evening of the third of April that he found that one of his usual, machines,n_0.63,7,"['customers', 'suspects', 'clients']","[0, 3, 5]","[0.06637158, 0.025611963, 0.010992648]",456,"['patrons', 'dinner', 'amuse']","[7, 243, 455]","[0.007139368, 0.00054046593, 0.0003127595]",50527,"['team', 'Graves', 'udder']","[457, 21222, 50236]","[0.00031189455, 4.164475e-07, 1.694273e-12]"
7,999,30,2,8,"
`` God, I was surprised you sent a son of yours down to", earth,tfs_0.9,24,"['this', 'hell', 'Hell']","[0, 8, 16]","[0.0962303, 0.01907448, 0.009598497]",24,"['this', 'earth', 'help']","[0, 12, 23]","[0.0962303, 0.0144148795, 0.0068806508]",50527,"['these', 'geographical', 'Availability']","[24, 21256, 50241]","[0.006767003, 1.07747006e-07, 2.2985365e-13]"
8,999,72,2,18," no less immutable than chalk on a blackboard. 
 
 A", lot,n_0.63,13,"['few', 'little', 'time']","[0, 6, 12]","[0.06506004, 0.0112181, 0.007668838]",634,"['short', 'page', 'fourth']","[13, 326, 633]","[0.006827157, 0.00039499422, 0.00021915243]",50527,"['reference', 'Blend', 'Charges']","[635, 22523, 50256]","[0.00021841963, 9.3876537e-07, 1.3977187e-10]"
9,999,127,0,3, her spirit with your cynical bullshit world and your Victorian-era expectations including your, stupid,n_0.63,3,"['own', 'daughter', 'wife']","[0, 1, 2]","[0.13493113, 0.042262442, 0.015453703]",395,"['mother', 'legal', 'massive']","[3, 195, 393]","[0.01161693, 0.0006726156, 0.0003588953]",50527,"['20', 'Gaming', 'conservancy']","[395, 20936, 50243]","[0.00035832074, 5.929082e-07, 1.5933907e-11]"
10,999,132,0,12," can avoid the consequences of avoiding reality. 
 
 
 And", that,tfs_0.9,28,"['finally', 'while', 'with']","[21, 24, 27]","[0.010918426, 0.008390502, 0.0067245946]",21,"['that', 'it', 'how']","[0, 10, 20]","[0.0815121, 0.02117014, 0.011059779]",50527,"['one', 'take', 'cumbers']","[28, 21400, 50256]","[0.006467078, 1.5270652e-07, 7.998749e-14]"
11,999,74,3,18," eyes out to. I could feel your absence, and it hurt. But", I,tfs_0.9,7,"['I', 'you', 'at']","[0, 2, 4]","[0.2929569, 0.07133464, 0.04480283]",7,"['I', 'then', 'the']","[0, 3, 6]","[0.2929569, 0.060737547, 0.03132183]",50527,"['that', 'finite', 'cumbers']","[7, 20970, 50253]","[0.022633884, 3.391393e-08, 9.049912e-15]"
12,999,10,1,10, bellowed throughout the tunnel. This was definitely it. This wasn ’, t,n_0.63,11,"['the', 'a', 'it']","[0, 6, 10]","[0.062126208, 0.011003892, 0.0062764813]",521,"['something', 'your', 'number']","[13, 279, 519]","[0.005047375, 0.00048028977, 0.0002582542]",50527,"['pr', '1971', 'Cosponsors']","[521, 23202, 50254]","[0.0002577444, 1.1527734e-06, 3.5935177e-10]"
13,999,14,2,4," to a surely faulty alarm clock, John had scrambled to the meeting with the", man,n_0.63,23,"['writer', 'doctor', 'wife']","[0, 11, 22]","[0.039041366, 0.0058450596, 0.0038285195]",786,"['aid', 'word', 'assistants']","[23, 392, 785]","[0.0036180832, 0.00036803188, 0.00019104754]",50527,"['train', 'soaked', 'staking']","[786, 21308, 50251]","[0.0001908232, 1.3695478e-06, 3.251551e-12]"
14,999,73,1,17," it rained down around the scarred monster. 
 
 A", dark,n_0.63,11,"['man', 'boy', 'monster']","[0, 5, 10]","[0.041154496, 0.01751094, 0.0042854818]",610,"['tall', 'row', 'victim']","[11, 311, 609]","[0.0042766305, 0.00051199965, 0.0002806747]",50527,"['tomb', 'accountant', 'Availability']","[610, 21787, 50247]","[0.0002806276, 4.553517e-07, 4.3543457e-11]"
15,999,13,3,11, He looks bumbling and foolish in juxtaposition; mouth agape with the, occasional,n_0.63,13,"['words', 'realization', 'noise']","[0, 6, 12]","[0.038885005, 0.0095217675, 0.0065232227]",505,"['smell', 'obvious', 'stupidity']","[13, 255, 504]","[0.006279978, 0.00059589074, 0.00032606066]",50527,"['barely', 'Kurds', 'Marginal']","[505, 21009, 50235]","[0.00032501752, 2.8788213e-07, 4.861236e-12]"
16,999,70,0,13," of hers somehow brings a sense of familiarity that is familial, not that his", mother,n_0.63,4,"['own', 'wife', 'mother']","[0, 2, 3]","[0.06188306, 0.025521455, 0.022797659]",542,"['family', 'shy', 'fair']","[4, 279, 541]","[0.008750407, 0.0004650407, 0.00025595332]",50527,"['childish', 'Role', 'Cosponsors']","[543, 21255, 50248]","[0.00025575812, 9.12977e-07, 4.524281e-11]"
17,999,2,2,4,iss. After a failing to wake up in the morning due to a surely, faulty,n_0.63,6,"['not', 'fatal', 'inc']","[2, 4, 5]","[0.009288573, 0.008682907, 0.008492775]",439,"['painful', 'hostile', 'ever']","[6, 219, 438]","[0.0082272105, 0.00070508337, 0.00037476417]",50527,"['that', 'ouch', 'Cosponsors']","[439, 22996, 50253]","[0.00037403294, 3.722119e-07, 1.1777106e-11]"
18,999,1,3,12," I was not prepared for this cold reception. Seriously, if your wife of", 3,tfs_0.9,63,"['35', '50', '37']","[30, 44, 62]","[0.009803356, 0.006987459, 0.0039218827]",30,"['twenty', 'over', 'four']","[0, 15, 29]","[0.055467807, 0.016710203, 0.010054996]",50527,"['fourteen', 'sheet', 'cumbers']","[63, 21380, 50229]","[0.0039077853, 3.034394e-08, 4.80425e-13]"
19,999,83,3,14," rats have wandered through 
 he must smell 
 of old socks and", dust,n_0.63,17,"['old', 'socks', 'hair']","[0, 9, 16]","[0.0428367, 0.007869589, 0.0046563204]",406,"['bread', 'half', 'broom']","[17, 217, 405]","[0.0046117385, 0.00079820864, 0.00042641337]",50527,"['purple', 'represented', 'Dispatch']","[406, 21302, 50235]","[0.00042507512, 3.3963272e-07, 1.0800604e-11]"
20,999,147,0,10," sidewalks, you know, in between the wars and money-making ventures and", things,n_0.63,7,"['the', 'other', 'corporate']","[0, 3, 6]","[0.06415261, 0.009611028, 0.0059456276]",893,"['stuff', 'lavish', 'wind']","[7, 449, 892]","[0.005363687, 0.00033157715, 0.00018077256]",50527,"['bombs', 'signatures', 'Cosponsors']","[893, 21264, 50256]","[0.0001806788, 9.205729e-07, 1.4923074e-12]"
21,999,26,2,17," It allowed him to strive for more in life. In the meantime, the", view,n_0.63,10,"['rain', 'rest', 'day']","[0, 5, 9]","[0.06676162, 0.00889689, 0.007145689]",756,"['other', 'voice', 'hair']","[10, 378, 754]","[0.0066994512, 0.00036575616, 0.00019929864]",50527,"['self', 'Editors', 'Introduced']","[756, 20967, 50249]","[0.00019841263, 1.2100518e-06, 5.899849e-12]"
22,999,44,1,6," Forty percent for selling a book is nothing to scoff at. Hell, I", would,tfs_0.9,18,"['think', 'paid', 'made']","[13, 16, 17]","[0.015093415, 0.012698299, 0.0108886445]",13,"['could', 'might', 'have']","[2, 7, 12]","[0.09499967, 0.030432368, 0.016794814]",50527,"['had', 'renowned', 'cumbers']","[18, 23102, 50249]","[0.010794516, 4.439961e-09, 6.8368103e-15]"
23,999,96,1,10,. They had now resorted to using centuries old machines and weapons. Only the, army,n_0.63,15,"['most', 'smallest', 'military']","[0, 7, 14]","[0.050806616, 0.007739075, 0.0058572465]",599,"['ones', 'seemingly', 'bullets']","[15, 309, 598]","[0.0054887054, 0.00047929413, 0.00024050278]",50527,"['skeleton', 'Yellowstone', 'SPONSORED']","[599, 21465, 50247]","[0.00023975714, 8.297416e-07, 6.419194e-12]"
24,999,69,1,6,"
 Despite my unforgiving determination, my relentless persuasion, and even a few", threats,n_0.63,31,"['of', 'desperate', 'other']","[0, 14, 30]","[0.035262592, 0.0043644076, 0.0027216084]",713,"['gr', 'selfish', 'pitches']","[31, 366, 712]","[0.0027212137, 0.0004542715, 0.00024900574]",50527,"['plot', 'permanently', 'munition']","[713, 21265, 50233]","[0.00024857675, 4.2706225e-07, 4.099447e-12]"
25,999,70,3,0," 
 is done to all. Dirt? Fuck Dirt. 
 Her", hair,n_0.63,4,"['name', 'life', 'eyes']","[0, 2, 3]","[0.10911103, 0.013767215, 0.011971024]",719,"['words', 'rock', 'Street']","[4, 364, 718]","[0.009679354, 0.00036589432, 0.00019067404]",50527,"['clay', 'captures', 'FORMATION']","[719, 21348, 50230]","[0.00018980753, 1.5734261e-06, 6.330562e-10]"
26,999,120,0,10," to step on a crack. 
 
 It's nice that the", government,n_0.63,8,"['curse', 'game', 'women']","[0, 3, 7]","[0.09151307, 0.012464764, 0.0086149415]",571,"['writers', 'very', 'troll']","[8, 282, 570]","[0.0076362593, 0.00046537432, 0.00024245934]",50527,"['master', '1968', 'cumbers']","[571, 21269, 50243]","[0.0002419641, 1.0388886e-06, 9.098768e-12]"
27,999,57,2,12, later until I realized why something did n't feel right. That was my, Dad,n_0.63,3,"['first', 'friend', 'pen']","[0, 1, 2]","[0.08655628, 0.05365552, 0.050015498]",232,"['bag', 'eye', 'current']","[3, 110, 231]","[0.013218858, 0.0011739925, 0.000566706]",50527,"['previous', 'Sever', 'cumbers']","[232, 21180, 50237]","[0.0005624203, 4.5120186e-07, 4.573089e-12]"
28,999,55,3,17," VERY OWN ENGLISH!!!!! 
 
`` Yuo fricken", look,n_0.63,15,"['mouse', 'mice', 'me']","[2, 8, 14]","[0.014267717, 0.007930525, 0.0052853674]",489,"['you', 'your', 'ac']","[20, 269, 488]","[0.0041535366, 0.00055590185, 0.00030389876]",50527,"['mammals', 'focuses', 'SPONSORED']","[489, 22786, 50256]","[0.00030323406, 9.847564e-07, 2.2314265e-11]"
29,999,26,3,6," front of Feruld, its feelers grazing lightly across the glass. The", ventilation,n_0.63,23,"['creature', 'eyes', 'young']","[1, 12, 22]","[0.018805567, 0.005519612, 0.00386671]",620,"['world', 'table', 'focus']","[23, 321, 619]","[0.0037786078, 0.0004822763, 0.00025932235]",50527,"['dust', 'Weir', 'Avg']","[620, 21244, 50243]","[0.0002593085, 6.737676e-07, 3.9006333e-12]"
30,999,64,2,5, it ’ s nothing more than feigned modesty—an expression of the, pride,n_0.63,9,"['fact', 'deep', 'idea']","[0, 4, 8]","[0.043601334, 0.00724986, 0.005026853]",729,"['most', 'prim', 'breath']","[9, 368, 728]","[0.0044251285, 0.0004741911, 0.00026521087]",50527,"['mystic', 'cavalry', 'munition']","[729, 21675, 50252]","[0.00026357494, 4.1585062e-07, 5.5756888e-12]"
31,999,124,1,9," Germany, me talking about Köln where I grew up and it's", wonderful,n_0.63,9,"['history', 'still', 'amazing']","[0, 4, 8]","[0.07537487, 0.011661597, 0.0068189325]",343,"['population', 'first', 'there']","[9, 175, 342]","[0.0066732815, 0.00097063405, 0.00047052244]",50527,"['snow', '134', 'WARE']","[343, 20715, 50229]","[0.00046950046, 3.8122184e-07, 1.1655044e-12]"
32,999,68,1,2, of my so-called “fails ”. From all the, data,n_0.63,12,"['time', 'years', 'feedback']","[0, 6, 11]","[0.06326846, 0.011517033, 0.0074550416]",437,"['work', 'smart', 'Google']","[12, 221, 436]","[0.006895786, 0.00065378426, 0.0003377199]",50527,"['sentences', 'risen', 'POSE']","[437, 21611, 50218]","[0.00033757562, 4.850116e-07, 6.833301e-12]"
33,999,128,3,6,"
 
 Nestled in the corner of the observation room, a large", cluster,n_0.63,7,"['black', 'white', 'computer']","[1, 4, 6]","[0.02670833, 0.0123441005, 0.008229408]",299,"['box', 'marble', 'rack']","[7, 150, 298]","[0.008190198, 0.0010275274, 0.0005220661]",50527,"['basket', 'Once', 'Avg']","[299, 21620, 50248]","[0.0005171504, 2.1070424e-07, 1.0670004e-12]"
34,999,77,3,2, people are aware of the extent of the dark net research cluster that created the, drug,n_0.63,7,"['drug', 'problem', 'first']","[0, 3, 6]","[0.07244971, 0.012745957, 0.01034146]",499,"['most', 'hype', 'ill']","[7, 246, 498]","[0.0071338685, 0.00054520793, 0.0002931163]",50527,"['picture', 'Twice', 'yip']","[499, 21398, 50247]","[0.0002930291, 7.454742e-07, 1.2182553e-12]"
35,999,119,2,4,"Hey, Jonathan, I'm glad you could make it, ''his writer", said,n_0.63,22,"['replied', 'interrupted', 'read']","[0, 9, 19]","[0.13097046, 0.016181633, 0.0060133724]",26,"['was', 'repeated', 'st']","[22, 24, 25]","[0.0055196965, 0.004643549, 0.0043241708]",50527,"['explained', 'Sky', 'Roaming']","[26, 22330, 50209]","[0.004202016, 7.9864556e-08, 4.5199144e-12]"
36,999,143,2,4,. He sat with one leg over the other gazing out the window at the, city,n_0.63,11,"['city', 'town', 'lush']","[0, 5, 10]","[0.074819684, 0.009682936, 0.0071992064]",356,"['morning', 'deserted', 'breeze']","[11, 182, 355]","[0.0067275194, 0.0008080491, 0.00041595436]",50527,"['newly', 'Claude', 'Interstitial']","[356, 21131, 50256]","[0.00041519658, 5.88806e-07, 2.4982677e-12]"
37,999,60,2,16," actually be challenged!``, Tom in shock replied ``Maybe we should go", out,tfs_0.9,27,"['in', 'look', 'ask']","[18, 22, 26]","[0.010106756, 0.008408766, 0.006683472]",18,"['to', 'into', 'home']","[0, 9, 17]","[0.13943009, 0.022279069, 0.01063714]",50527,"['down', 'aged', 'ACTED']","[27, 21800, 50248]","[0.0065531516, 1.0273999e-07, 8.908935e-13]"
38,999,80,1,4," couldn't- ''
`` Just run!'' Sherry yells, grabbing", Brian,tfs_0.9,8,"['his', 'James', 'at']","[4, 6, 7]","[0.05654714, 0.038141336, 0.034866665]",4,"['Brian', 'the', 'him']","[0, 2, 3]","[0.29644635, 0.08010463, 0.058564227]",50527,"['onto', '640', 'cumbers']","[8, 21105, 50253]","[0.016210917, 4.1727898e-08, 1.054919e-13]"
39,999,70,1,21," to bring order to this chaos. 
 
 
`` The", big,n_0.63,14,"['doll', 'next', 'warehouse']","[0, 7, 13]","[0.052210245, 0.0075387196, 0.00541653]",652,"['floor', 'hard', 'small']","[14, 330, 651]","[0.00530739, 0.0004468842, 0.00023490824]",50527,"['figures', 'conspicuous', 'SPONSORED']","[652, 20992, 50255]","[0.00023457155, 9.308986e-07, 4.1408136e-12]"
40,999,71,0,22, through the living pumpkins and black cats that are also in abundance. The, newly,n_0.63,27,"['only', 'new', 'girls']","[0, 13, 26]","[0.033371184, 0.0051716445, 0.0034450581]",701,"['fact', 'bright', 'construction']","[27, 358, 700]","[0.003430999, 0.00042549692, 0.00023352871]",50527,"['newer', 'Gamer', 'maxwell']","[701, 21193, 50246]","[0.00023319756, 8.643035e-07, 5.3866894e-12]"
41,999,72,1,4," the one who *just* said we couldn't- ''
`` Just", run,n_0.63,44,"['what', 'go', 'think']","[0, 21, 43]","[0.06517977, 0.008558471, 0.004874387]",47,"['why', 'not', 'ignore']","[44, 45, 46]","[0.0044658277, 0.004453171, 0.0041402485]",50527,"['me', 'psych', 'cumbers']","[47, 21272, 50231]","[0.004090827, 9.192284e-08, 1.1869062e-12]"
42,999,69,0,10,". Now this curse, by or from whom no one knows, has made", mothers,tfs_0.9,26,"['every', 'parents', 'my']","[16, 21, 25]","[0.01327019, 0.0077259783, 0.007001654]",16,"['the', 'this', 'these']","[0, 8, 15]","[0.06729705, 0.03934217, 0.014097082]",50527,"['their', 'bombings', 'cumbers']","[26, 20986, 50242]","[0.0065224264, 2.7305876e-07, 8.0535887e-13]"
43,999,21,1,14,"ying her in the corner, he waved her over. ``Miss, how", did,tfs_0.9,12,"['come', 'long', 'many']","[9, 10, 11]","[0.033163313, 0.02480598, 0.019388314]",9,"['are', 'is', 'could']","[0, 4, 8]","[0.12899308, 0.0640079, 0.036049556]",50527,"['was', 'complexity', 'SPONSORED']","[12, 22310, 50255]","[0.0184538, 1.4747557e-08, 1.1573424e-14]"
44,999,31,3,2," that was the case. 
 There was a long and complicated paper trail", of,tfs_0.9,22,"['on', 'for', 'before']","[10, 15, 21]","[0.020363785, 0.010788176, 0.0058340994]",10,"['that', 'leading', 'between']","[0, 6, 9]","[0.1321468, 0.026967755, 0.022416662]",50527,"['I', 'Strike', 'cumbers']","[22, 21930, 50238]","[0.005755801, 1.7794243e-08, 5.0272276e-14]"
45,999,55,2,6, how much use I could get out of the bottle opener if I was a, bit,n_0.63,3,"['little', 'bit', 'regular']","[0, 1, 2]","[0.12264454, 0.031314664, 0.025240293]",256,"['good', 'giant', 'first']","[3, 125, 255]","[0.010584681, 0.0011693976, 0.0005702103]",50527,"['hand', 'Oriental', 'Iowa']","[256, 21299, 50231]","[0.0005624503, 1.7546535e-07, 1.3218387e-12]"
46,999,100,0,19," from its stand and laid it on the ground, tugging at the corners", and,tfs_0.9,8,"['as', 'and', 'until']","[4, 5, 7]","[0.057554312, 0.05462286, 0.04405643]",4,"['of', 'with', 'to']","[0, 1, 3]","[0.17467916, 0.1717481, 0.11690599]",50527,"['in', 'biography', 'STD']","[8, 21542, 50250]","[0.014488752, 2.2025395e-09, 2.2575702e-15]"
47,999,139,0,10," something about the state of the roads and sidewalks, you know, in between", the,n_0.63,3,"['the', 'all', 'a']","[0, 1, 2]","[0.14277253, 0.043583706, 0.016921502]",517,"['when', 'homes', 'morning']","[3, 257, 516]","[0.012181592, 0.00044534917, 0.00025158175]",50527,"['situations', 'arrives', 'cumbers']","[517, 20978, 50240]","[0.00025134577, 1.0758976e-06, 6.8870526e-12]"
48,999,49,2,10," your palace for, like, 10 minutes ''. 
 I murmured", under,tfs_0.9,17,"['into', 'with', 'that']","[13, 15, 16]","[0.012548636, 0.011821587, 0.011318944]",13,"['to', 'my', 'out']","[1, 7, 12]","[0.080222666, 0.034911383, 0.012562047]",50527,"['it', 'nets', 'TEXTURE']","[18, 21532, 50250]","[0.006680209, 9.4542415e-08, 3.6235343e-13]"
49,999,111,0,13," A dashing young man of 25, fatally endowed with a lack of a", sense,n_0.63,4,"['penis', 'soul', 'heart']","[0, 2, 3]","[0.13755357, 0.02217444, 0.014891077]",228,"['brain', 'moral', 'lung']","[4, 116, 227]","[0.0106642805, 0.0010449036, 0.00055115094]",50527,"['brother', 'Perl', 'SPONSORED']","[228, 22174, 50252]","[0.0005511005, 3.143007e-07, 2.3692598e-11]"
50,999,54,0,12," 
 What no one likes to talk about is that the book ’", s,n_0.63,7,"['The', 'and', 'which']","[0, 3, 6]","[0.08215392, 0.018077688, 0.010461486]",451,"['it', 'came', 'great']","[8, 226, 450]","[0.008698389, 0.0005322086, 0.00027351998]",50527,"['supposed', 'hungry', 'conservancy']","[451, 21568, 50234]","[0.00027188155, 1.6414555e-06, 6.564087e-10]"
51,999,54,3,20, It feels like I've been set up to make that connection. The endless, documentaries,n_0.63,27,"['stream', 'lines', 'loops']","[1, 14, 26]","[0.02773754, 0.0046879738, 0.0025355602]",807,"['search', 'destruction', 'explosion']","[27, 413, 806]","[0.0024495749, 0.0003961199, 0.00021510391]",50527,"['pan', 'ruled', 'respected']","[807, 21545, 50229]","[0.00021494806, 4.350735e-07, 1.2157999e-11]"
52,999,0,2,12," would remember it then either, so i decided to write it down. I", had,tfs_0.9,41,"['tried', 'am', 'took']","[37, 39, 40]","[0.006199431, 0.005908142, 0.005779299]",37,"['was', 'guess', 'wanted']","[1, 20, 36]","[0.045943044, 0.010774275, 0.0062019858]",50527,"['made', '509', 'cumbers']","[41, 23114, 50251]","[0.005615438, 7.3002915e-09, 1.5549643e-14]"
53,999,59,1,5," And, I do n't know what to expect when we arrive. The", Void,n_0.63,9,"['ship', 'inter', 'last']","[1, 5, 8]","[0.036669254, 0.009201254, 0.0062302034]",705,"['Inter', 'physical', 'shields']","[9, 356, 703]","[0.0061737075, 0.0003938898, 0.00020719669]",50527,"['announcement', 'chronically', 'Turkey']","[705, 21348, 50244]","[0.00020686972, 9.2174656e-07, 1.4365354e-11]"
54,999,97,2,10,"OOOrty ''I chuckled to myself. 
 
 As the", beam,n_0.63,15,"['beam', 'sun', 'last']","[1, 8, 13]","[0.033956233, 0.0070904596, 0.0057347617]",699,"['purple', 'bar', 'stall']","[15, 351, 697]","[0.0054577217, 0.00041087632, 0.00021696308]",50527,"['members', 'Hook', 'Stretch']","[699, 21392, 50249]","[0.00021578606, 9.4789834e-07, 9.475236e-12]"
55,999,145,1,9,"cing about the farm he grew up on, in Bavaria. How we", played,tfs_0.9,36,"['have', 'knew', 'always']","[31, 33, 35]","[0.0055025415, 0.0048295218, 0.0044872076]",31,"['were', 'used', 'never']","[0, 16, 30]","[0.07171717, 0.011261061, 0.0056641456]",50527,"['first', 'pasture', 'cumbers']","[36, 21876, 50235]","[0.0042010862, 2.615053e-08, 1.6409863e-13]"
56,999,72,2,5,igned modesty—an expression of the pride they feel for every day that their, surgeries,n_0.63,15,"['work', 'lives', 'medical']","[0, 7, 14]","[0.042583186, 0.009061366, 0.005996879]",472,"['product', 'darling', 'computers']","[15, 243, 471]","[0.0059718136, 0.00057006243, 0.00032174602]",50527,"['wards', 'militias', 'conservancy']","[472, 21570, 50254]","[0.00032147858, 4.10495e-07, 1.8444838e-12]"
57,999,36,3,6," across the glass. The ventilation system whirred to life, and the", m,n_0.63,8,"['air', 'creature', 'door']","[1, 4, 7]","[0.023152607, 0.011536996, 0.0090241805]",442,"['glass', 'engine', 'standing']","[8, 224, 441]","[0.00853005, 0.00062583317, 0.000333686]",50527,"['curtain', 'Dull', 'Avg']","[442, 21022, 50249]","[0.000333162, 4.9347324e-07, 1.3085038e-12]"
